Bird_no	band	date	jdate	location	location details	capture method	bander	net set-up time	PB start time	PB_Start_s	frisbee time	capture_time	Cap_Time_s	Cap_Lat	sex	mass	tarsus	wing 	head-bill	fat	age	notes	LH stage	Male Status/how caught	hemat1_tubeno	hematocrit1	hemat2_tubeno	hematocrit2	tube1_tsec	tube2_tsec	tube3_tsec	tube4_tsec	tube5_tsec	tube6_tsec	tube7_tsec	tube8_tsec	tube1_cort	tube2_cort	tube3_cort	tube4_cort	tube5_cort	tube6_cort	tube7_cort	tube8_cort	Notes
1	1372-33401	5/16/16	137	Unit 1	along field N of trailer before ponds	net	LS	7:38:00	7:49:00	28140	7:53:00	8:00:00	28800	660	M	59.5	32.1	127.0	44.5	0.0	A		early-breeding	on territory	1.0	51.0	2.0	50.5	45	100	185	350	940	1850	2710	3600	9.32	9.35	11.98	34.36	11.46	16.61	33.82	36.56	
2	1372-33402	5/17/16	138	Unit 2	"along trail closest to the lake, 1st territory along lake"	net	LS	6:28:00	6:27:00	23220		6:29:00	23340	120	M	68.0	34.5	127.0	44.4	1.0	A		early-breeding	on territory	1.0	55.0	2.0	57.0	77	179	400	900	2698	3618			4.29	8.94	24.56	93.62	64.69	103.82			
3	1372-33403	5/17/16	138	Unit 2	"along trail closest to the lake,  second territory along lake"	net	LS	7:55:00	7:56:00	28560		8:05:00	29100	540	M	65.0	34.5	128.0	46.6	0.0	A	was in the net for about 10 minutes	early-breeding	on territory	1.0	50.5	2.0	53.0	177	408	900	1819	2698	3601			14.52	31.48	48.23	44.98	73.46	28.68			
4	1372-33404	5/18/16	139	Unit 2	"along trail along the large pond, close to the treeline/barbed wire fence that marks the end of the property"	net	LS	6:30:00	6:32:00	23520		6:42:00	24120	600	M	64.0	34.9	126.0	45.0	1.0	A		early-breeding	on territory	1.0	55.5	2.0	56.0	85	180	360	915	1888	2697	3580		2.82	6.82	14.80	33.02	40.31	54.82	60.66		
5	1382-33405	5/18/16	139	Unit 2	"along trail along the large pond, close to the treeline/barbed wire fence that marks the end of the property"	net	CT	6:30:00	6:32:00	23520		7:02:00	25320	1800	M	69.0	30.6	117.0	45.5	0.0	SY	"first bleed was in net, took about 30 min to remove from net"	early-breeding	on territory	1.0	58.0	2.0	52.0	240	2010	2740	3600					21.89	56.06	70.48	65.39					
6	1372-33406	6/10/16	162	Unit 1	field near trailer	net	LS	5:50:00	5:52:00	21120		5:55:00	21300	180	M	66.0	35.8	125.0	47.1	0.0	A		mid-breeding	on territory	1.0	54.5	2.0	53.4	114	190	405	907	1810	2710	3600		5.23	7.28	14.00	23.41	32.45	34.06	41.85		
7	1372-33407	6/16/16	168	Field on King Rd near Montessori school	by barn apartments	net	LS	6:25:00	6:26:00	23160		6:31:00	23460	300	M	65.5	34.1	127.5	47.6	0.0	A		mid-breeding	on territory	1.0	50.7	2.0	49.4	60	189	388	929	1790	2730	3615		0.33	1.23	5.60	14.73	19.56	21.80	22.76		
8	1372-33409	6/16/16	168	Field on King Rd near Montessori school	in far back field near treeline	net	LS	7:59:00	8:00:00	28800		8:26:00	30360	1560	M	63.0	35.0	125.5	47.8	0.0	A		mid-breeding	on territory	1.0	51.9	2.0	51.5	85	190	368	880	1819	2710	3608		5.58	7.77	14.94	32.19	35.63	43.48	48.24		
9	1372-33408	6/21/16	173	Bluegrass lane	"small marsh, side furthest from parking area"	net	LS	5:41:00	5:42:00	20520		5:52:00	21120	600	M	65.0	34.6	118.0	46.0	1.0	SY	"orange epaulets, but no speckling like most second years"	mid-breeding	on territory	1.0	52.0	2.0	52.5	210	337	920	1790	2700	3599			2.88	2.68	8.12	16.61	21.20	24.67			"took hematocrit from tube 3 as well (39.5/67=59), blood was much darker in color, maybe clottier?"
10	1372-33411	7/7/16	189	"Danby and King, baited trap"		trap	LS					6:15:00	22500		M	59.0	32.5	116.0	44.4	1.5	HY/SY	"suspect hatch year after 1st molt, but could be second year; escaped from bag after 6th bleed"		baited feed - late/post-breeding	1.0	47.9	3.0	49.3	58	204	364	920	1805	2821											
